severity,recipe_id,title,category,issue_code,where,evidence,suggested_fix,updated_at
P0,412ccf71-c34b-4ccc-99bb-f0077b50cb5e,Mountain Peak Dinner,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:58.081060
P0,412ccf71-c34b-4ccc-99bb-f0077b50cb5e,Mountain Peak Dinner,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.081066
P0,0f1e3988-8b95-4f6f-b335-45ab00b94df5,NAD Plus Boosting Snack,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.086070
P0,8d4f5e6a-7b8c-9d0e-1f2a-3b4c5d6e7f8a,Nigerian Cauliflower Jollof,dinner,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:58.092615
P0,19f923b1-3b2d-4084-ac1e-3592b91002d3,Nigerian Jollof Rice,dinner,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:58.093845
P0,3f8638d2-b7af-4306-bf46-bbd21a567644,Nordic Wellness Bowl,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.100206
P0,4f9e8d32-1a5b-4c6d-8e9f-2a3b4c5d6e7f,Nori Hand Roll,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.102181
P0,a2de2c37-4e5b-4a58-85f1-c800c2c68e5a,Nut Butter Energy Bites,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.107885
P0,5a1f2e3d-4c5b-6a7e-8f9d-3a4b5c6d7e8f,Nutmeg Spice Cookies,dessert,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.109949
P0,fec2f120-7bd1-48c3-9e1a-173a60485750,Omega-3 Rich Seed Mix,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.119467
P0,b4d20110-3b64-4d81-9a23-8fa4e8d7db88,Paleo Power Breakfast,breakfast,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:58.122904
P0,1395352f-bb61-49c0-8165-1db919dbabcf,Parallel Universe Bowl,breakfast,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.124517
P0,3eabf1cf-7075-4e14-9c6d-fb9a16dffd28,Patagonian Power Bowl,breakfast,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:58.125960
P0,3eabf1cf-7075-4e14-9c6d-fb9a16dffd28,Patagonian Power Bowl,breakfast,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.125963
P0,7b674fd0-c129-400b-82bf-f573e5b1278a,Peanut Butter Chocolate Mousse,dessert,STEP_GHOST_ING,instructions,Instructions mention 'butter' not in ingredients,Add butter to ingredients or remove from instructions,2025-10-03T01:38:58.127221
P0,e84f4116-5260-452b-a81a-ce6ab50b7820,Perfect Peace Snack,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.130234
P0,0d8ff85f-f464-49c8-a075-2b8571bfd0a5,Peruvian Ceviche Bowl,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:58.134573
P0,bc3570c8-849e-4948-9dd8-8c3fe6ca7f35,Peruvian Quinoa Soup,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:58.138395
P0,0cf1ea81-14be-4283-a6e9-0568b1e7200e,Plain Almond Flour Cookies,dessert,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.139609
P0,4d7f5038-94f6-41c3-a892-39c442a33d1e,Pork Tenderloin,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potatoes,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:58.145073
P0,94c701c8-079d-4d6f-a39c-585e93e3b79c,Power Bowl,breakfast,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.146594
P0,488c6a2f-76bb-444b-a0f9-c815596923eb,Power Salad,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.151854
P0,9075f4d5-4194-407f-b7f0-83669ac79569,Prairie Wind Breakfast,breakfast,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.152887
P0,8ac0ae72-e02f-41c7-90e7-cbd86d74116d,Present Moment Snack,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.156772
P0,53cd7d09-1899-42d7-b87c-1ba0782760b9,Prime Ribeye Special,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potatoes,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:58.159010
P0,a4237d84-8112-4470-90df-5b76cdb6c91d,Protein Balls,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.166658
P0,49d09623-4ae9-47de-b045-266970a5dc02,Protein Harvest Bowl,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potatoes,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:58.171840
P0,49d09623-4ae9-47de-b045-266970a5dc02,Protein Harvest Bowl,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.171846
P0,7355fd7c-47c6-486c-8b42-6b5995acf233,Protein Power Balls,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.175535
P0,1524d689-7c4e-4794-bf6e-7a8af9ed9495,Protein Power Bowl,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.177894
P0,153ba9d9-e676-40fd-841a-c09b737545e1,Quinoa Power Bowl,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.189168
P0,ae21c496-c90a-4746-94ea-c97496343ae7,Rainforest Canopy Meal,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.200168
P0,30a385ae-a076-4299-99bc-33ca9f6610af,Sacred Geometry Snack,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.219889
P0,69394de8-63b2-4224-91c5-ccedfd3e4ffc,Salmon Poke Bowl,lunch,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:58.225680
P0,37956a43-4d25-429a-8723-b8dc076d9c02,Seafood Paella,dinner,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:58.239163
P0,24ccbc9e-a678-402d-a5e7-399c7d965dab,Seed and Nut Mix,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.244138
P0,c46c5e70-9393-4007-bc73-7d161486a42a,Seeded Crackers,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.245806
P0,d21334a5-412d-4ff4-83c9-65210ca7b7ce,Sirtuins Snack Mix,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.259182
P0,699e5f83-af86-43a3-86ca-1c279d1b1fb9,Skin Health Glow Meal,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),"Recipe contains forbidden potato: potato, potatoes","Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:58.260511
P0,65a53c30-c1a6-4c3b-b179-db8ee21f94ff,Spanish Gazpacho,dinner,STEP_GHOST_ING,instructions,Instructions mention 'bread' not in ingredients,Add bread to ingredients or remove from instructions,2025-10-03T01:38:58.276115
P0,65a53c30-c1a6-4c3b-b179-db8ee21f94ff,Spanish Gazpacho,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: bread,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.276123
P0,535ce3ba-ea66-449e-b7a8-d8173f2833c2,Spinach White Bean Soup,soup,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: bread,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.278881
P0,db9964b6-43eb-44af-9899-30d1bb470782,Spinach White Bean Soup Classic,soup,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: bread,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.280230
P0,ecb78383-c72a-4da2-ab59-e17c6565c3d2,Stress Hormone Reset,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:58.288628
P0,5bb94218-04fc-4b91-9061-b7e96e178959,String Theory Snack,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.290312
P0,5096a5db-5f49-493c-b0b1-66eb4c3384b3,Stuffed Avocado,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: bagel,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.291429
P0,9f9005a6-4ab6-40aa-b3aa-b494f56fbb28,Stuffed Bell Peppers,dinner,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:58.292783
P0,b61dccce-ae34-42a8-8454-be35ff8956b1,Superfood Energy Balls,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.297753
P0,6a90f29e-35a0-4666-a396-8c79fa98f63d,Time Dilation Lunch,lunch,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:58.311892
P0,45f00b30-aa5e-476d-9a36-fa579322c34a,Traditional Fermented Feast,dinner,STEP_GHOST_ING,instructions,Instructions mention 'bread' not in ingredients,Add bread to ingredients or remove from instructions,2025-10-03T01:38:58.314817
P0,45f00b30-aa5e-476d-9a36-fa579322c34a,Traditional Fermented Feast,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: bread,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.314822
P0,eb20dd08-48d6-4eca-b1a8-fbd14d150fe1,Trinidad Callaloo,lunch,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:58.317220
P0,f3618d71-28d9-410f-8626-a096210be19e,Turkey Meatloaf,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: loaf,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.328389
P0,fc23786e-450b-4dcd-aa57-67c3cc1d6519,Turkey and Hummus Wrap,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),"Recipe contains forbidden bread: roll, rolls","Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.331430
P0,15bc6414-37cd-4a79-b5d3-7bb2cbd1f49c,Turkish Stuffed Eggplant,dinner,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:58.333695
P0,5e1bb989-12e4-40c2-8aca-0e3326a4ef0a,Vegetable Barley Soup,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.346199
P0,d419c061-e24b-4516-a6c5-739c82b0c90a,Vegetable Curry Bowl,lunch,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:58.350773
P0,8c15c31c-491c-4905-a29b-f1ea2b98451d,Veggie Breakfast Hash,breakfast,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:58.362124
P0,01be36cb-e4eb-4803-bbd0-b2af822a7f90,Vietnamese Spring Rolls,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.370487
P0,6c84a729-5cca-4892-aa60-d66754766cec,Volcanic Mineral Snack,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.371382
P0,3c5099fb-23e9-47e5-a622-69ebd29ef657,Wildlife Habitat Meal,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.376526
P0,d5c849ff-db5b-4fe3-8c03-303c848845e3,Wrap and Roll,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:58.379204
P0,f3c44ecb-4e2a-4288-9b1a-2dc175c54cff,Zucchini-psyllium crust pizza,pizza,STEP_GHOST_ING,instructions,Instructions mention 'cheese' not in ingredients,Add cheese to ingredients or remove from instructions,2025-10-03T01:38:58.383417
P0,d2bfd32f-aca6-4aef-acad-e4682beae5d9,mTOR Modulation Dinner,dinner,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:58.386290
P1,f26a60fd-bf22-40d5-a989-bae48a89cb48,Blackberry Mint Infused Water,beverage,ING_UNUSED,ingredients+instructions,"Ingredients possibly not used in instructions: cold water, fresh blackberries, ice cubes","Verify cold water, fresh blackberries, ice cubes is used in instructions or remove from ingredients",2025-10-03T01:38:57.552453
P1,f47c745c-394e-42c6-822b-549ea0e92b38,Cauliflower Rice,lunch,ING_UNUSED,ingredients+instructions,"Ingredients possibly not used in instructions: cloves garlic minced, fresh parsley chopped, medium head cauliflower","Verify cloves garlic minced, fresh parsley chopped, medium head cauliflower is used in instructions or remove from ingredients",2025-10-03T01:38:57.643115
P1,13f7e1f1-b0d0-4042-a1eb-b157bbdbd076,Hard-Boiled Egg,snack,ING_UNUSED,ingredients+instructions,"Ingredients possibly not used in instructions: ice cubes, paprika","Verify ice cubes, paprika is used in instructions or remove from ingredients",2025-10-03T01:38:57.889194
P1,9da77828-47a3-40b3-b684-5c1ede595084,Lentil Flatbread,breakfast,ING_UNUSED,ingredients+instructions,"Ingredients possibly not used in instructions: granulated garlic, red lentils, teaspoon himalayan salt","Verify granulated garlic, red lentils, teaspoon himalayan salt is used in instructions or remove from ingredients",2025-10-03T01:38:57.980248
P1,24ccbc9e-a678-402d-a5e7-399c7d965dab,Seed and Nut Mix,snack,ING_UNUSED,ingredients+instructions,Ingredients possibly not used in instructions: garlic powder,Verify garlic powder is used in instructions or remove from ingredients,2025-10-03T01:38:58.244131
P1,b5452e8c-4164-4d8f-a6d5-4ab15fb5bda3,Tuna Salad Lettuce Wraps,lunch,ING_UNUSED,ingredients+instructions,"Ingredients possibly not used in instructions: fresh dill, fresh lemon juice, olive oil mayo","Verify fresh dill, fresh lemon juice, olive oil mayo is used in instructions or remove from ingredients",2025-10-03T01:38:58.324459
P1,d1c15117-de1c-4b06-a3fa-227eb3c0b049,Watermelon Basil Sparkling Water,beverage,ING_UNUSED,ingredients+instructions,"Ingredients possibly not used in instructions: cubes fresh watermelon, ice cubes","Verify cubes fresh watermelon, ice cubes is used in instructions or remove from ingredients",2025-10-03T01:38:58.374284
P2,6c19e892-368b-47c9-8aba-17489d3b5f3f,Blueberry Protein Pancakes,breakfast,IMG_GENERIC_NAME,image,Generic image filename: image_1759106881533.png,Verify image matches recipe visually,2025-10-03T01:38:57.555618
P2,03654630-1593-4da1-8fd2-93c5a2cf47ec,Broccoli-flax crust pizza,pizza,IMG_GENERIC_NAME,image,Generic image filename: image_1759078337497.png,Verify image matches recipe visually,2025-10-03T01:38:57.609563
P2,f463381b-b1b3-4685-ab7f-8ca7fc0794a8,Cabbage Steaks,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1758490475994.png,Verify image matches recipe visually,2025-10-03T01:38:57.620345
P2,6b5535fe-dd20-4413-9651-2d5581084ddf,Cabbage and Cod Fish,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1759081077540.png,Verify image matches recipe visually,2025-10-03T01:38:57.622295
P2,44197ad9-ac58-4cde-bbc4-8037b7b4563e,Cauliflower Baked Fries,snack,IMG_GENERIC_NAME,image,Generic image filename: image_1759082009877.png,Verify image matches recipe visually,2025-10-03T01:38:57.632587
P2,dad6b995-8e4d-4f17-b24a-927813dc36ea,Chicken and Avocado Salad,lunch,IMG_GENERIC_NAME,image,Generic image filename: image_1759076927531.png,Verify image matches recipe visually,2025-10-03T01:38:57.686814
P2,019aba6c-f26d-4733-a9fc-e5e6cb9c7771,Circadian Rhythm Meal,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1759083345477.png,Verify image matches recipe visually,2025-10-03T01:38:57.726050
P2,68685485-871e-41a3-86e7-c6963dc973d3,Coconut Date Balls,snack,IMG_GENERIC_NAME,image,Generic image filename: image_1759079059735.png,Verify image matches recipe visually,2025-10-03T01:38:57.736319
P2,5a449303-86c6-47bd-a836-5c2b637b8001,Eggplant Parmesan,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1759082384033.png,Verify image matches recipe visually,2025-10-03T01:38:57.798968
P2,8b4e8318-229f-4b65-bbe5-d77402344fe3,Energy Boosting Trail Mix,snack,IMG_GENERIC_NAME,image,Generic image filename: image_1759079204314.png,Verify image matches recipe visually,2025-10-03T01:38:57.810187
P2,f92ce61f-77ec-42db-8ccf-28108f141648,Fruit Salad,snack,IMG_GENERIC_NAME,image,Generic image filename: image_1759077885704.png,Verify image matches recipe visually,2025-10-03T01:38:57.844849
P2,a121dcb3-8b5f-44b6-8a1a-0e309f2cb6b8,German Hearty Dinner,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1759078893759.png,Verify image matches recipe visually,2025-10-03T01:38:57.850723
P2,8fcf1853-6c9c-4e3b-8edb-d117ef735c5d,Grain Salad Bowl,lunch,IMG_GENERIC_NAME,image,Generic image filename: image_1759078560537.png,Verify image matches recipe visually,2025-10-03T01:38:57.860179
P2,63d5f1f7-f334-490e-93ec-97717b6baf55,Grilled Salmon Fillet,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1759076506661.png,Verify image matches recipe visually,2025-10-03T01:38:57.882401
P2,b1598d73-9793-41df-877e-240b3d5643f2,Indian Butter Chicken,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1759076422601.png,Verify image matches recipe visually,2025-10-03T01:38:57.908897
P2,91edfce5-6b15-4331-92c9-170d5a3a0a17,Japanese Teriyaki Bowl,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1758508419952.png,Verify image matches recipe visually,2025-10-03T01:38:57.946236
P2,f4da3736-aac2-4b96-b190-c92971496004,Kale Chips,snack,IMG_GENERIC_NAME,image,Generic image filename: image_1758508701419.png,Verify image matches recipe visually,2025-10-03T01:38:57.948673
P2,087cf97a-4fd6-4dfe-a9da-a1d491c3f8f9,Korean BBQ Bowl,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1758508984809.png,Verify image matches recipe visually,2025-10-03T01:38:57.955629
P2,94957f97-9313-421a-ab62-34a117a4945a,Korean Bibimbap,lunch,IMG_GENERIC_NAME,image,Generic image filename: image_1758509180264.png,Verify image matches recipe visually,2025-10-03T01:38:57.958267
P2,e7070c9a-6923-43bb-830f-9845d8f0f4ee,Korean Kimchi Stew,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1758509352935.png,Verify image matches recipe visually,2025-10-03T01:38:57.960465
P2,2b064846-9bd2-4979-a22d-19e56b3e1dcc,Lamb Curry,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1758509583052.png,Verify image matches recipe visually,2025-10-03T01:38:57.963198
P2,62fbbaef-5832-4dff-b2c3-86a123a12126,Latin Fiesta Bowl,lunch,IMG_GENERIC_NAME,image,Generic image filename: image_1758509720304.png,Verify image matches recipe visually,2025-10-03T01:38:57.965423
P2,b0e1ba93-5e46-467d-98ce-3ba4bea5b583,Lebanese Kibbeh,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1758509947839.png,Verify image matches recipe visually,2025-10-03T01:38:57.968079
P2,85467e79-be76-41ca-b98f-3b0a29e78802,Lebanese Stuffed Grape Leaves,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1758510069384.png,Verify image matches recipe visually,2025-10-03T01:38:57.969543
P2,d7280a31-45ee-4148-b8ad-bd81d402cad3,Mashed Cauliflower,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1758510776558.png,Verify image matches recipe visually,2025-10-03T01:38:58.002406
P2,a9e57143-b3f3-423b-b239-026e94b3a89e,Mediterranean Mezze Bowl,lunch,IMG_GENERIC_NAME,image,Generic image filename: image_1758510988563.png,Verify image matches recipe visually,2025-10-03T01:38:58.016409
P2,e772ecfd-50a4-4d3a-860e-ffc39401e068,Mexican Black Bean Bowls,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1759082907217.png,Verify image matches recipe visually,2025-10-03T01:38:58.037089
P2,b95c3aa1-22f2-4829-b0f9-89344d41b80b,Moroccan Chicken Tagine,lunch,IMG_GENERIC_NAME,image,Generic image filename: image_1758515298602.png,Verify image matches recipe visually,2025-10-03T01:38:58.073372
P2,3b340e47-3ca7-4afa-90c8-ddbb6b4a50e2,Moroccan Couscous,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1758513928048.png,Verify image matches recipe visually,2025-10-03T01:38:58.074676
P2,888900f8-ac30-4cf3-8151-a91f38d43c49,Moroccan Fish Tagine,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1758514119308.png,Verify image matches recipe visually,2025-10-03T01:38:58.077012
P2,ee9917d2-5065-4b13-97a3-6b5fb7aa78bd,Moroccan Vegetable Tagine,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1758515491662.png,Verify image matches recipe visually,2025-10-03T01:38:58.078693
P2,1bda98a9-a1f2-4bb0-a494-3527fd431576,Mulberry Breakfast Bowl,breakfast,IMG_GENERIC_NAME,image,Generic image filename: image_1759078162445.png,Verify image matches recipe visually,2025-10-03T01:38:58.082969
P2,212c5d17-f272-4103-8432-8e4eee0959d9,Protein Pancakes,breakfast,IMG_GENERIC_NAME,image,Generic image filename: image_1759079673754.png,Verify image matches recipe visually,2025-10-03T01:38:58.173659
P2,27a0f34b-ee71-4144-b84e-f5b082580ce7,Stuffed Eggplant,dinner,IMG_GENERIC_NAME,image,Generic image filename: image_1759082359355.png,Verify image matches recipe visually,2025-10-03T01:38:58.295315
P2,1f0a3e35-3726-4117-ae5e-d6caa5b2ade7,Veggie Burger with Lettuce Wraps,lunch,IMG_GENERIC_NAME,image,Generic image filename: image_1759078726357.png,Verify image matches recipe visually,2025-10-03T01:38:58.365380
P2,c1461c3e-709b-42c6-90af-8df0fd27a92d,Very Berry Breakfast,breakfast,IMG_GENERIC_NAME,image,Generic image filename: image_1759079501903.png,Verify image matches recipe visually,2025-10-03T01:38:58.368181
P2,46baec46-289b-4e8a-9e2e-cbffc8385372,Zucchini Baked Fries,snack,IMG_GENERIC_NAME,image,Generic image filename: image_1759108396550.png,Verify image matches recipe visually,2025-10-03T01:38:58.380082
